pmid;Manual Class
11412871;BMD
19012301;BMD
11766073;BMD
19109891;BMD
19062538;BMD, DMD
19309270;BMD, DMD
25131993;BMD, DMD
26773586;BMD, DMD
15845029;BMD, DMD
11409421;BMD, DMD
17258336;BMD, DMD
21550932;BMD, DMD
26966801;BMD, DMD
15743370;BMD, DMD
27122458;BMD, DMD
26418993;BMD, DMD
25594433;DBMD
19285783;DBMD
11126641;DBMD
12359139;DBMD
10660328;DBMD
15175275;DBMD
19407036;DBMD
25546789;DBMD
22116947;DMD
11382193;DMD
23070737;DMD
24858336;DMD
22354379;DMD
27649492;DMD
22560791;DMD
19957845;DMD
20498331;DMD
18071020;DMD
26926354;DMD
23450561;DMD
15152458;DMD
24315469;DMD
27549615;DMD
18591841;DMD
22154712;DMD
21111703;DMD
26855765;DMD
22068479;DMD
14677314;DMD
12812755;DMD
15725584;DMD
21275309;DMD
20517938;DMD
20434401;DMD
24308293;DMD
15991258;DMD
16149047;DMD
24986949;DMD
20580709;DMD
27134205;DMD
21967249;DMD
24969422;DMD
23218947;DMD
28334037;DMD
22889007;DMD
27229112;DMD
28877195;DMD
11404124;DMD
22801582;DMD
26003786;DMD
26280938;DMD
11084353;DMD
11889791;DMD
12062254;DMD
16135534;DMD
20687186;DMD
11468272;DMD
16019212;DMD
15145335;DMD
19906562;DMD
23594613;DMD
12206807;DMD
24577373;DMD
19899002;DMD
27621596;DMD
26264580;DMD
26182375;DMD
24879640;DMD
22000014;DMD
27343068;DMD
21402949;DMD
25972034;DMD
25365558;DMD
21570848;DMD
25755201;DMD
20827278;DMD
22068475;DMD
18230070;DMD
16750880;DMD
18363165;DMD
15948875;DMD
21800026;DMD
26094594;DMD
19787747;DMD
